Username,Images,Review,Rating,Creation-date
Jupiter07,-,Consider only buying one if you have disk brakes               To my knowledge  the spoke mounting system is not flexible enough in placement to be safely installed on rear wheels for systems with disk brakes.  I have gears on the one side of the back wheel and a disk brake on the other which prevented mounting.  So although I preferred for these to be on the back tire  I had to put the tube on the front. Good thing I didn t order two! Lots of compliments during a night ride in Seattle  and it lasted through 6 miles of pure Seattle rain at night with no issues.  I have yet to test the waterproofing while the bike sits outside in the rain  however.I like the color  brightness  and the tube system.       ,4,2021-10-21T14:22:22
Nunyabizzness,-,It s EXACTLY how you imagine it to be. Also visible from behind with only a slight angle.               I combine these with cosmic brightz. These LED s are just fool proof. Very easy to install. VERY BRIGHT. Combined with cosmic brightz  we feel incredibly safe riding at night. I mean your bike is just OBVIOUS.Some comments: changing the batteries is a pain. They last about ten hours. And we quickly learned to buy rechargeable batteries (which does drive up the initial cost). To change the batteries you need a screw driver and well it s not the easiest thing to do.But really there is no good replacement for this fantastic product. The amount of people that notice you and slow down while passing is pretty much at 100%.       ,5,2021-09-28T14:22:22
Anny,-,DO NOT FIT 20  WHEELS               These DO NOT fit 20  wheels  as in the description. In fact  the product instructions say they fit wheels larger than 20  I tried these on 4 different 20  bikes in our garage to no avail. That said  they did fit our 20  bike. They are very bright  and I like that they have the plastic tubing. The knockoffs do not.  THe bad thing about these is they are a PITA to install. Teeny tiny little screws. I lost one for 15 minutes. It had fallen in my boot and it was so little i couldn t feel it. There are other version on Amazon that clamp around the hub. Those are much easier to install.       A una persona le resultó útil,3,2021-01-19T14:22:22
cmy28cmy28,https://images-na.ssl-images-amazon.com/images/I/71R-M1eFa4L._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/8128VKDrYpL._SY800.jpg,This is so amazing. Seriously.               This is so amazing. Seriously.Well  the manual was scary to my first sight with so many steps listed with pictures and words. It turned out  however  to be just carefully and smoothly illustrated. I found the mounting process pretty much an enjoyment itself  though it did take me some time as I am a novice.Please have a look at my pictures. Highly recommended!       A 5 personas les resultó útil,5,2021-04-21T14:22:22
Guardian Angel,-,Not for me               Not a fan. I bough these expecting I would be able to easily mount them on my back wheel and be more visible at night. Well when they arrived it looked cheaply made and I was not thrilled by them. I tired installing them but the more I looked at them the quicker I realized that if these come apart while I m biking  they are going to get caught in my bike wheel which would cause me to crash. Seeing as how I bike down roads where the speed limit is around 55-60mph I couldn t afford the risk. So I returned them. Looked great and cool concept just not for me.       A 2 personas les resultó útil,2,2021-06-02T14:22:22
Joseph Robredo,-,Absolutely LOVE these awesome lights!               Absolutely LOVE these awesome lights! They are a lot of fun to use.Weave the tubing through spokes  and hold them tight in place with included zip ties. Then attach the light powerbox directly to the spokes with included screws in the inner area of the tire. It holds very well and endures a lot of rough riding  bumps  and thumps. Uses 3 AAA batteries that seem to last a long time and are easy to replace.       A una persona le resultó útil,5,2021-09-10T14:22:22
Jay,-,Do not buy these. They are NOT Wheel Brightz ...               Do not buy these. They are NOT Wheel Brightz ... They are a knock off Chinese brand that does Not work.       A 59 personas les resultó útil,1,2021-01-25T14:22:22
shelli reavesshelli reaves,https://images-na.ssl-images-amazon.com/images/I/51ZAgWvNwJL._SY800.jpg,Pimp your ride!               Bought these blue ones for a Christmas gift but I already have a pink set for my bike and they look awesome.  Easy to install.  You can cut to fit but very little waste on a 26 inch wheel.  Highly recommend for anyone who rides at night or dusk.  I m attaching a pic of my pink ones for reference since the blue ones are being gift wrapped for Xmas 2015.  (Note   I have an extra light on the bike frame   this review is for the wheel lights only and you need 1 box for each wheel)       A 2 personas les resultó útil,5,2021-10-21T14:22:22
Chillburn,-,Initially enjoyed but it was short lived               Lights were installed and ridden twice then brightness decreased and sometimes dont light at all despite new batteries.       A una persona le resultó útil,4,2021-04-08T14:22:22
Chris.,-,Wires are sensitive. Watch for steep curbs               Easy to install (watch youtube)  but be careful when biking fast on a bumpy curb  or steep sidewalk. When I was biking i heard a loud noise coming from my bike when I was biking over a steep curb while crossing the road and didn t realize that the battery completely snapped off until later that day.       ,4,2021-03-16T14:22:22
Isabella Medders,-,Makes me feel like I am in the Tokyo Drift Music Video               I love these lights so much. They look very cool when put on a bike and are pretty bright. They really helped to spice my bike up along with making me feel 
